LINE - 13 : [ 2025-11-14 01:50:40,177 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/data_access/FakeNewsData.py] line number [35] error message [Failed to Fetch Data!!]
LINE - 23 : [ 2025-11-14 01:52:42,009 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 58 : [ 2025-11-14 01:52:42,682 ] Mongodb_connection - INFO - Connected to mongodb.
LINE - 28 : [ 2025-11-14 01:52:42,683 ] Fake news Data - INFO - Fetching Data from mongoDb...
LINE - 38 : [ 2025-11-14 01:52:44,632 ] Fake news Data - INFO - Data Fetched Successfully
LINE - 11 : [ 2025-11-14 01:52:44,632 ] Demo - INFO - Shape: (5200, 7)
LINE - 23 : [ 2025-11-14 02:31:07,246 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 58 : [ 2025-11-14 02:31:08,427 ] Mongodb_connection - INFO - Connected to mongodb.
LINE - 28 : [ 2025-11-14 02:31:08,429 ] Fake news Data - INFO - Fetching Data from mongoDb...
LINE - 38 : [ 2025-11-14 02:31:10,536 ] Fake news Data - INFO - Data Fetched Successfully
LINE - 23 : [ 2025-11-14 02:33:14,914 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 58 : [ 2025-11-14 02:33:15,805 ] Mongodb_connection - INFO - Connected to mongodb.
LINE - 28 : [ 2025-11-14 02:33:15,805 ] Fake news Data - INFO - Fetching Data from mongoDb...
LINE - 38 : [ 2025-11-14 02:33:18,709 ] Fake news Data - INFO - Data Fetched Successfully
LINE - 23 : [ 2025-11-14 02:34:27,516 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 58 : [ 2025-11-14 02:34:28,148 ] Mongodb_connection - INFO - Connected to mongodb.
LINE - 28 : [ 2025-11-14 02:34:28,149 ] Fake news Data - INFO - Fetching Data from mongoDb...
LINE - 38 : [ 2025-11-14 02:34:30,061 ] Fake news Data - INFO - Data Fetched Successfully
LINE - 23 : [ 2025-11-14 02:36:15,617 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 58 : [ 2025-11-14 02:36:16,290 ] Mongodb_connection - INFO - Connected to mongodb.
LINE - 28 : [ 2025-11-14 02:36:16,290 ] Fake news Data - INFO - Fetching Data from mongoDb...
LINE - 38 : [ 2025-11-14 02:36:18,456 ] Fake news Data - INFO - Data Fetched Successfully
LINE - 23 : [ 2025-11-14 02:37:13,015 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 58 : [ 2025-11-14 02:37:13,686 ] Mongodb_connection - INFO - Connected to mongodb.
LINE - 28 : [ 2025-11-14 02:37:13,687 ] Fake news Data - INFO - Fetching Data from mongoDb...
LINE - 38 : [ 2025-11-14 02:37:15,919 ] Fake news Data - INFO - Data Fetched Successfully
LINE - 23 : [ 2025-11-14 02:39:05,887 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 58 : [ 2025-11-14 02:39:06,939 ] Mongodb_connection - INFO - Connected to mongodb.
LINE - 28 : [ 2025-11-14 02:39:06,939 ] Fake news Data - INFO - Fetching Data from mongoDb...
LINE - 38 : [ 2025-11-14 02:39:09,229 ] Fake news Data - INFO - Data Fetched Successfully
LINE - 23 : [ 2025-11-14 02:40:54,707 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 58 : [ 2025-11-14 02:40:55,401 ] Mongodb_connection - INFO - Connected to mongodb.
LINE - 28 : [ 2025-11-14 02:40:55,402 ] Fake news Data - INFO - Fetching Data from mongoDb...
LINE - 38 : [ 2025-11-14 02:40:57,547 ] Fake news Data - INFO - Data Fetched Successfully
LINE - 23 : [ 2025-11-14 02:45:09,283 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 58 : [ 2025-11-14 02:45:10,030 ] Mongodb_connection - INFO - Connected to mongodb.
LINE - 28 : [ 2025-11-14 02:45:10,030 ] Fake news Data - INFO - Fetching Data from mongoDb...
LINE - 38 : [ 2025-11-14 02:45:12,365 ] Fake news Data - INFO - Data Fetched Successfully
LINE - 99 : [ 2025-11-14 02:45:17,223 ] Demo - INFO - X: 1, y: 4575
LINE - 23 : [ 2025-11-14 02:46:28,350 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 58 : [ 2025-11-14 02:46:29,266 ] Mongodb_connection - INFO - Connected to mongodb.
LINE - 28 : [ 2025-11-14 02:46:29,267 ] Fake news Data - INFO - Fetching Data from mongoDb...
LINE - 38 : [ 2025-11-14 02:46:31,121 ] Fake news Data - INFO - Data Fetched Successfully
LINE - 101 : [ 2025-11-14 02:46:35,984 ] Demo - INFO - X: 1, y: 4575
LINE - 23 : [ 2025-11-14 02:47:58,210 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 58 : [ 2025-11-14 02:47:58,857 ] Mongodb_connection - INFO - Connected to mongodb.
LINE - 28 : [ 2025-11-14 02:47:58,858 ] Fake news Data - INFO - Fetching Data from mongoDb...
LINE - 38 : [ 2025-11-14 02:48:00,837 ] Fake news Data - INFO - Data Fetched Successfully
LINE - 105 : [ 2025-11-14 02:48:09,271 ] Demo - INFO - X: 4575, y: 4575
